 N,CL,FL,CM,CD
   1,    0.0677,    1.0831,    0.0639,   -0.0137
   2,    0.0099,    0.1576,    0.0057,   -0.0014
   3,    0.0091,    0.1456,    0.0044,   -0.0013
   4,    0.0087,    0.1391,    0.0037,   -0.0012
   5,    0.0084,    0.1342,    0.0032,   -0.0011
   6,    0.0081,    0.1300,    0.0028,   -0.0011
   7,    0.0079,    0.1259,    0.0024,   -0.0010
   8,    0.0076,    0.1218,    0.0021,   -0.0009
   9,    0.0073,    0.1176,    0.0018,   -0.0009
  10,    0.0071,    0.1132,    0.0015,   -0.0008
  11,    0.0068,    0.1086,    0.0012,   -0.0007
  12,    0.0065,    0.1037,    0.0009,   -0.0006
  13,    0.0062,    0.0987,    0.0006,   -0.0006
  14,    0.0058,    0.0934,    0.0003,   -0.0005
  15,    0.0055,    0.0879,    0.0000,   -0.0004
  16,    0.0051,    0.0822,   -0.0003,   -0.0003
  17,    0.0048,    0.0762,   -0.0006,   -0.0003
  18,    0.0044,    0.0701,   -0.0008,   -0.0002
  19,    0.0040,    0.0639,   -0.0011,   -0.0001
  20,    0.0036,    0.0574,   -0.0014,   -0.0001
  21,    0.0032,    0.0508,   -0.0017,   -0.0000
  22,    0.0028,    0.0441,   -0.0019,    0.0000
  23,    0.0023,    0.0373,   -0.0022,    0.0001
  24,    0.0019,    0.0303,   -0.0025,    0.0001
  25,    0.0015,    0.0233,   -0.0027,    0.0002
  26,    0.0010,    0.0162,   -0.0030,    0.0002
  27,    0.0006,    0.0091,   -0.0032,    0.0002
  28,    0.0001,    0.0019,   -0.0035,    0.0002
  29,   -0.0003,   -0.0053,   -0.0037,    0.0002
  30,   -0.0008,   -0.0124,   -0.0039,    0.0002
  31,   -0.0012,   -0.0196,   -0.0041,    0.0002
  32,   -0.0017,   -0.0267,   -0.0043,    0.0002
  33,   -0.0021,   -0.0337,   -0.0045,    0.0002
  34,   -0.0025,   -0.0407,   -0.0046,    0.0002
  35,   -0.0030,   -0.0475,   -0.0048,    0.0001
  36,   -0.0034,   -0.0542,   -0.0050,    0.0001
  37,   -0.0038,   -0.0608,   -0.0051,    0.0000
  38,   -0.0042,   -0.0673,   -0.0052,   -0.0000
  39,   -0.0046,   -0.0736,   -0.0053,   -0.0001
  40,   -0.0050,   -0.0796,   -0.0054,   -0.0001
  41,   -0.0053,   -0.0855,   -0.0055,   -0.0002
  42,   -0.0057,   -0.0912,   -0.0056,   -0.0003
  43,   -0.0060,   -0.0966,   -0.0056,   -0.0003
  44,   -0.0064,   -0.1018,   -0.0057,   -0.0004
  45,   -0.0067,   -0.1067,   -0.0057,   -0.0005
  46,   -0.0070,   -0.1114,   -0.0057,   -0.0006
  47,   -0.0072,   -0.1157,   -0.0057,   -0.0006
  48,   -0.0075,   -0.1198,   -0.0057,   -0.0007
  49,   -0.0077,   -0.1236,   -0.0056,   -0.0008
  50,   -0.0079,   -0.1270,   -0.0056,   -0.0009
  51,   -0.0081,   -0.1301,   -0.0055,   -0.0009
  52,   -0.0083,   -0.1329,   -0.0055,   -0.0010
  53,   -0.0085,   -0.1354,   -0.0054,   -0.0010
  54,   -0.0086,   -0.1375,   -0.0053,   -0.0011
  55,   -0.0087,   -0.1393,   -0.0052,   -0.0011
  56,   -0.0088,   -0.1407,   -0.0050,   -0.0012
  57,   -0.0089,   -0.1418,   -0.0049,   -0.0012
  58,   -0.0089,   -0.1425,   -0.0047,   -0.0012
  59,   -0.0089,   -0.1429,   -0.0046,   -0.0012
  60,   -0.0089,   -0.1429,   -0.0044,   -0.0013
